trl;stim1;stim2;stim
1;stimuli/selection/aardvark_01b_13;stimuli/selection/aardvark_01b_13;stimuli/selection/aardvark_01b_13
2;stimuli/selection/bag_04s_11;stimuli/selection/bag_04s_11;stimuli/selection/bag_04s_11
3;stimuli/selection/beaker_01b_13;stimuli/selection/beaker_01b_13;stimuli/selection/beaker_01b_13
4;stimuli/selection/beer_05s_11;stimuli/selection/beer_05s_11;stimuli/selection/beer_05s_11
5;stimuli/selection/bikini_02s_13;stimuli/selection/bikini_02s_13;stimuli/selection/bikini_02s_13
6;stimuli/selection/bowtie_02s_13;stimuli/selection/bowtie_02s_13;stimuli/selection/bowtie_02s_13
7;stimuli/selection/boxing_gloves_06s_11;stimuli/selection/boxing_gloves_06s_11;stimuli/selection/boxing_gloves_06s_11
8;stimuli/selection/butterfly_02s_15;stimuli/selection/butterfly_02s_15;stimuli/selection/butterfly_02s_15
9;stimuli/selection/chess_piece_03s_11;stimuli/selection/chess_piece_03s_11;stimuli/selection/chess_piece_03s_11
10;stimuli/selection/cow_08s_13;stimuli/selection/cow_08s_13;stimuli/selection/cow_08s_13
11;stimuli/selection/dolphin_14s_11;stimuli/selection/dolphin_14s_11;stimuli/selection/dolphin_14s_11
12;stimuli/selection/dragonfly_07s_11;stimuli/selection/dragonfly_07s_11;stimuli/selection/dragonfly_07s_11
13;stimuli/selection/giraffe_20s_15;stimuli/selection/giraffe_20s_15;stimuli/selection/giraffe_20s_15
14;stimuli/selection/goldfish_08s_13;stimuli/selection/goldfish_08s_13;stimuli/selection/goldfish_08s_13
15;stimuli/selection/hairbrush_07s_17;stimuli/selection/hairbrush_07s_17;stimuli/selection/hairbrush_07s_17
16;stimuli/selection/hamburger_05s_11;stimuli/selection/hamburger_05s_11;stimuli/selection/hamburger_05s_11
17;stimuli/selection/hammer_07s_15;stimuli/selection/hammer_07s_15;stimuli/selection/hammer_07s_15
18;stimuli/selection/hanger_03s_13;stimuli/selection/hanger_03s_13;stimuli/selection/hanger_03s_13
19;stimuli/selection/horse_08s_11;stimuli/selection/horse_08s_11;stimuli/selection/horse_08s_11
20;stimuli/selection/lamp_08s_13;stimuli/selection/lamp_08s_13;stimuli/selection/lamp_08s_13
21;stimuli/selection/lightbulb_01b_17;stimuli/selection/lightbulb_01b_17;stimuli/selection/lightbulb_01b_17
22;stimuli/selection/padlock_06s_15;stimuli/selection/padlock_06s_15;stimuli/selection/padlock_06s_15
23;stimuli/selection/printer_09s_13;stimuli/selection/printer_09s_13;stimuli/selection/printer_09s_13
24;stimuli/selection/puppy_12s_11;stimuli/selection/puppy_12s_11;stimuli/selection/puppy_12s_11
25;stimuli/selection/saxophone_12s_13;stimuli/selection/saxophone_12s_13;stimuli/selection/saxophone_12s_13
26;stimuli/selection/swan_11s_17;stimuli/selection/swan_11s_17;stimuli/selection/swan_11s_17
27;stimuli/selection/teddy_bear_06s_11;stimuli/selection/teddy_bear_06s_11;stimuli/selection/teddy_bear_06s_11
28;stimuli/selection/umbrella_15s_13;stimuli/selection/umbrella_15s_13;stimuli/selection/umbrella_15s_13
29;stimuli/selection/van_14s_13;stimuli/selection/van_14s_13;stimuli/selection/van_14s_13
30;stimuli/selection/wine_bottle_08s_17;stimuli/selection/wine_bottle_08s_17;stimuli/selection/wine_bottle_08s_17
31;stimuli/boot_02s_9;stimuli/boot_02s_9;stimuli/boot_02s_9
32;stimuli/coffee_04s_11;stimuli/coffee_04s_11;stimuli/coffee_04s_11
33;stimuli/glasses_13s_9;stimuli/glasses_13s_9;stimuli/glasses_13s_9
34;stimuli/magnifying_glass_01b_11;stimuli/magnifying_glass_01b_11;stimuli/magnifying_glass_01b_11
35;stimuli/mask_12s_11;stimuli/mask_12s_11;stimuli/mask_12s_11
36;stimuli/penguin_12s_11;stimuli/penguin_12s_11;stimuli/penguin_12s_11
37;stimuli/anchor_02s_11;stimuli/anchor_02s_11;stimuli/anchor_02s_11
38;stimuli/hairdryer_10s_11;stimuli/hairdryer_10s_11;stimuli/hairdryer_10s_11
