trl;stim1;stim2;stimulus
1;stimuli/dolphin_14s_9.jpg;stimuli/dolphin_14s_11.jpg;dolphin_14s_
2;stimuli/mask_12s_9.jpg;stimuli/mask_12s_11.jpg;mask_12s_
3;stimuli/puppy_12s_9.jpg;stimuli/puppy_12s_11.jpg;puppy_12s_
4;stimuli/penguin_12s_9.jpg;stimuli/penguin_12s_11.jpg;penguin_12s_
5;stimuli/horse_08s_9.jpg;stimuli/horse_08s_11.jpg;horse_08s_
6;stimuli/kangaroo_02s_9.jpg;stimuli/kangaroo_02s_11.jpg;kangaroo_02s_
7;stimuli/bag_04s_9.jpg;stimuli/bag_04s_11.jpg;bag_04s_
8;stimuli/recliner_10s_9.jpg;stimuli/recliner_10s_11.jpg;recliner_10s_
9;stimuli/racehorse_07s_9.jpg;stimuli/racehorse_07s_11.jpg;racehorse_07s_
10;stimuli/bottle_02n_9.jpg;stimuli/bottle_02n_11.jpg;bottle_02n_
11;stimuli/anchor_02s_9.jpg;stimuli/anchor_02s_11.jpg;anchor_02s_
12;stimuli/gramophone_01b_9.jpg;stimuli/gramophone_01b_11.jpg;gramophone_01b_
13;stimuli/glasses_13s_9.jpg;stimuli/glasses_13s_11.jpg;glasses_13s_
14;stimuli/cello_01s_9.jpg;stimuli/cello_01s_11.jpg;cello_01s_
15;stimuli/margarita_17s_9.jpg;stimuli/margarita_17s_11.jpg;margarita_17s_
16;stimuli/hammer_07s_9.jpg;stimuli/hammer_07s_11.jpg;hammer_07s_
17;stimuli/magnifying_glass_01b_9.jpg;stimuli/magnifying_glass_01b_11.jpg;magnifying_glass_01b_
18;stimuli/teddy_bear_06s_9.jpg;stimuli/teddy_bear_06s_11.jpg;teddy_bear_06s_
19;stimuli/boot_02s_9.jpg;stimuli/boot_02s_11.jpg;boot_02s_
20;stimuli/gun_01b_11.jpg;stimuli/gun_01b_9.jpg;gun_01b_
21;stimuli/hat_07s_11.jpg;stimuli/hat_07s_9.jpg;hat_07s_
22;stimuli/stiletto_10s_11.jpg;stimuli/stiletto_10s_9.jpg;stiletto_10s_
23;stimuli/teapot_06s_11.jpg;stimuli/teapot_06s_9.jpg;teapot_06s_
24;stimuli/swan_11s_11.jpg;stimuli/swan_11s_9.jpg;swan_11s_
25;stimuli/bathrobe_02s_11.jpg;stimuli/bathrobe_02s_9.jpg;bathrobe_02s_
26;stimuli/hairdryer_10s_11.jpg;stimuli/hairdryer_10s_9.jpg;hairdryer_10s_
27;stimuli/headphones_01b_11.jpg;stimuli/headphones_01b_9.jpg;headphones_01b_
28;stimuli/beer_05s_11.jpg;stimuli/beer_05s_9.jpg;beer_05s_
29;stimuli/bird_18s_11.jpg;stimuli/bird_18s_9.jpg;bird_18s_
30;stimuli/seahorse_02s_11.jpg;stimuli/seahorse_02s_9.jpg;seahorse_02s_
31;stimuli/dragonfly_07s_11.jpg;stimuli/dragonfly_07s_9.jpg;dragonfly_07s_
32;stimuli/clipper1_07s_11.jpg;stimuli/clipper1_07s_9.jpg;clipper1_07s_
33;stimuli/boxing_gloves_06s_11.jpg;stimuli/boxing_gloves_06s_9.jpg;boxing_gloves_06s_
34;stimuli/wine_17s_11.jpg;stimuli/wine_17s_9.jpg;wine_17s_
35;stimuli/man_09s_11.jpg;stimuli/man_09s_9.jpg;man_09s_
36;stimuli/toilet_paper_02s_11.jpg;stimuli/toilet_paper_02s_9.jpg;toilet_paper_02s_
37;stimuli/coffee_04s_11.jpg;stimuli/coffee_04s_9.jpg;coffee_04s_
38;stimuli/axe_12n_11.jpg;stimuli/axe_12n_9.jpg;axe_12n_
